SaleUnits,TargetUnits,AchSale ,LMSU,LMSV
98,59.5056,165,22,7524.44
126,93.6002,135,75,30958.5
1201,1265.8417,95,717,270065.22
3,3.5322,85,0,0
17,23.7607,72,10,4953.4
190,146.8321,129,125,42752.5
67,124.8003,54,60,24766.8
2283,2196.6077,104,1159,436548.94
6,3.0276,198,1,691.9
30,37.2369,81,32,15850.88
287,272.0258,106,213,72850.26
374,335.4008,112,286,118055.08
3521,3474.8597,101,2373,893814.18
5,5.0459,99,0,0
77,74.4738,103,82,40617.88
70,207.1105,34,50,17101
60,124.8003,48,30,12383.4
3510,3015.6818,116,580,218462.8
0,7.8212,0,0,0
10,28.371,35,5,2476.7
166,87.3265,190,187,63957.74
36,101.4002,36,47,19400.66
2743,2457.2222,112,1675,630905.5
0,5.8028,0,-1,-691.9
15,13.4762,111,0,0
115,108.705,106,56,19153.12
167,157.0004,106,90,37150.2
2339,2186.1253,107,1261,474968.26
3,3.5092,85,0,0
25,20.4598,122,10,4953.4
194,121.4938,160,113.5,38819.27
219,188.4005,116,185.5,76570.69
1723.5,1639.594,105,805,303211.3
0,4.5413,0,0,0
11.5,8.1839,141,4,1981.36
40,204.6212,20,113,38648.26
6,62.8002,10,17,7017.26
482,1366.3283,35,528,198876.48
0,3.3028,0,-2,-1383.8
0,7.5019,0,0,0
113,127.8882,88,92.5,31636.85
14,113.0403,12,54.5,22496.51
1050.5,2459.391,43,915,344643.9
0,5.7799,0,0,0
8.5,12.9579,66,11,5448.74
56,76.7329,73,89,30439.78
91,106.7603,85,26,10732.28
1491,1457.4169,102,744,280235.04
35,3.5092,997,0,0
99,19.0959,518,14,6934.76
40,70.2086,57,40.125,13723.55
126,147.6004,85,156,64393.68
5066.5,4220.1954,120,3650.075,1374837.24
3,3.6698,82,2,1383.8
14,15.3449,91,9,4458.06
141,64.1561,220,96.125,32876.67
131,64.8002,202,47,19400.66
2456.5,2260.1046,109,1996.075,751841.6
12,4.1285,291,-1,-691.9
36,13.2989,271,19,9411.46
40,58.5072,68,39.25,13424.28
69,86.4002,80,57,23528.46
6909,4720.2185,146,3576.15,1346992.66
26,16.9727,153,26,17989.4
26,24.5518,106,26,12878.84
